timestamp,ltz1000-4-to-3
1516480796.795,17585.787
1516480800.147,17590.108
1516480803.500,17590.572
1516480806.852,17590.316
1516480810.204,17590.298
1516480813.556,17590.501
1516480816.909,17590.602
1516480820.260,17587.295
1516480823.613,17584.104
1516480826.965,17584.722
1516480830.316,17584.922
1516480833.668,17585.128
1516480837.021,17584.960
1516480840.372,17585.462
1516480843.725,17585.460
1516480847.077,17584.628
1516480850.429,17583.706
1516480853.781,17584.365
1516480857.133,17584.360
1516480860.486,17584.347
1516480863.838,17584.137
1516480867.190,17584.376
1516480870.542,17584.246
1516480873.894,17583.995
1516480877.246,17583.827
1516480880.598,17583.688
1516480883.950,17583.924
1516480887.302,17583.969
1516480890.654,17584.253
1516480894.006,17584.342
1516480897.359,17584.540
1516480900.711,17584.778
1516480904.063,17584.124
1516480907.415,17584.294
1516480910.767,17584.156
1516480914.119,17583.934
1516480917.472,17584.342
1516480920.823,17584.233
1516480924.175,17584.438
1516480927.527,17584.149
1516480930.879,17584.509
1516480934.231,17584.410
1516480937.584,17584.339
1516480940.936,17584.423
1516480944.288,17584.545
1516480947.640,17584.553
1516480950.992,17584.385
1516480954.344,17584.385
1516480957.696,17584.433
1516480961.048,17584.616
1516480964.401,17584.233
1516480967.753,17584.775
1516480971.105,17584.210
1516480974.456,17584.268
1516480977.808,17584.398
1516480981.161,17584.030
1516480984.513,17584.243
1516480987.866,17584.164
1516480991.217,17584.177
1516480994.569,17584.149
1516480997.921,17584.050
1516481001.274,17584.400
1516481004.626,17584.567
1516481007.978,17584.699
1516481011.329,17584.763
1516481014.682,17584.740
1516481018.034,17584.912
1516481021.387,17585.039
1516481024.738,17584.988
1516481028.090,17584.671
1516481031.443,17584.907
1516481034.795,17584.684
1516481038.146,17584.828
1516481041.499,17585.528
1516481044.851,17584.839
1516481048.203,17584.816
1516481051.555,17584.866
1516481054.907,17584.311
1516481058.259,17584.699
1516481061.611,17584.927
1516481064.964,17585.330
1516481068.316,17584.737
1516481071.668,17583.982
1516481075.020,17584.502
1516481078.372,17584.963
1516481081.724,17585.493
1516481085.076,17584.831
1516481088.428,17584.641
1516481091.780,17585.005
1516481095.132,17584.594
1516481098.485,17584.504
1516481101.836,17584.981
1516481105.189,17584.887
1516481108.541,17584.921
1516481111.893,17584.638
1516481115.245,17584.433
1516481118.597,17584.282
1516481121.949,17584.476
1516481125.302,17584.567
1516481128.653,17584.831
1516481132.006,17584.943
1516481135.358,17584.223
1516481138.710,17584.301
1516481142.062,17583.756
1516481145.414,17584.354
1516481148.766,17582.884
1516481152.118,17579.032
1516481155.471,17578.938
1516481158.823,17579.250
1516481162.174,17582.253
1516481165.526,17584.915
1516481168.878,17583.541
1516481172.230,17579.995
1516481175.583,17579.308
