timestamp,34401a_thermistor,si_7021_ambient_c,si7021_internal_c,setpoint,adc,adc_c,error_c,output,io_delta_c,hp_error_c,hp_mcp_delta
1517209474.19,24.9972967259,21.297,-46.582,406,405.798,24.9977,-0.0023,2.14,3.7006,-0.0027032741,-0.000403274099998
1517209477.55,24.9942920016,21.276,-46.582,406,405.584,24.9953,-0.0047,4.53,3.7196,-0.0057079984,-0.0010079984
1517209480.91,24.9871198301,21.265,-46.582,406,405.212,24.9910,-0.0090,8.72,3.7262,-0.0128801699,-0.0038801699
1517209484.25,24.9779113264,21.276,-46.582,406,404.529,24.9833,-0.0167,16.43,3.7077,-0.0220886736,-0.0053886736
1517209487.61,24.9678380284,21.286,-46.582,406,403.856,24.9756,-0.0244,24.46,3.6893,-0.0321619716,-0.0077619716
1517209490.96,24.9575967827,21.297,-46.582,406,403.460,24.9711,-0.0289,29.93,3.6741,-0.0424032173,-0.0135032173
1517209494.32,24.9475576675,21.265,-46.582,406,402.561,24.9609,-0.0391,41.00,3.6960,-0.0524423325,-0.0133423325
1517209497.67,24.9373484594,21.276,-46.582,406,401.977,24.9543,-0.0457,49.24,3.6787,-0.0626515406,-0.0169515406
1517209501.02,24.9267701793,21.265,-46.582,406,401.501,24.9489,-0.0511,56.70,3.6840,-0.0732298207,-0.0221298207
1517209504.38,24.9167491047,21.276,-46.582,406,400.400,24.9364,-0.0636,74.08,3.6607,-0.0832508953,-0.0196508953
1517209507.71,24.9083389084,21.276,-46.582,406,399.972,24.9315,-0.0685,81.98,3.6559,-0.0916610916,-0.0231610916
1517209511.07,24.9015123326,21.276,-46.582,406,399.279,24.9236,-0.0764,92.94,3.6480,-0.0984876674,-0.0220876674
1517209514.43,24.8954930089,21.276,-46.582,406,398.888,24.9192,-0.0808,101.12,3.6436,-0.1045069911,-0.0237069911
1517209517.78,24.8892597774,21.276,-46.582,406,398.590,24.9158,-0.0842,108.54,3.6402,-0.1107402226,-0.0265402226
1517209521.13,24.883466377,21.286,-46.582,406,397.996,24.9090,-0.0910,119.29,3.6227,-0.116533623,-0.025533623
1517209524.48,24.8789074287,21.254,-46.582,406,397.697,24.9056,-0.0944,127.26,3.6515,-0.1210925713,-0.0266925713
1517209527.84,24.8753568409,21.276,-46.582,406,397.430,24.9026,-0.0974,135.07,3.6270,-0.1246431591,-0.0272431591
1517209531.2,24.8720167813,21.276,-46.582,406,396.848,24.8960,-0.1040,151.87,3.6204,-0.1279832187,-0.0239832187
1517209534.54,24.8685117552,21.265,-46.582,406,396.825,24.8957,-0.1043,157.61,3.6308,-0.1314882448,-0.0271882448
1517209537.89,24.8651879452,21.265,-46.582,406,396.406,24.8910,-0.1090,167.55,3.6261,-0.1348120548,-0.0258120548
1517209541.24,24.8630945897,21.265,-46.582,406,396.308,24.8899,-0.1101,174.34,3.6250,-0.1369054103,-0.0268054103
1517209544.59,24.8631963987,21.286,-46.582,406,396.282,24.8896,-0.1104,180.44,3.6032,-0.1368036013,-0.0264036013
1517209547.95,24.8656970506,21.254,-46.582,406,396.110,24.8876,-0.1124,188.09,3.6334,-0.1343029494,-0.0219029494
1517209551.3,24.8696422731,21.276,-46.582,406,396.186,24.8885,-0.1115,193.21,3.6129,-0.1303577269,-0.0188577269
1517209554.65,24.8739372908,21.265,-46.582,406,396.551,24.8926,-0.1074,195.23,3.6277,-0.1260627092,-0.0186627092
1517209558.0,24.8788487152,21.265,-46.582,406,396.842,24.8959,-0.1041,197.83,3.6310,-0.1211512848,-0.0170512848
1517209561.36,24.8845735459,21.254,-46.582,406,397.281,24.9009,-0.0991,204.07,3.6467,-0.1154264541,-0.0163264541
