timestamp,run5-ltz1000-4
1517383370.378,7189587.500
1517383373.720,7189586.300
1517383377.076,7189588.200
1517383380.433,7189588.300
1517383383.790,7189587.700
1517383387.131,7189588.200
1517383390.488,7189587.700
1517383393.844,7189587.200
1517383397.185,7189587.700
1517383400.542,7189588.700
1517383403.899,7189586.600
1517383407.240,7189587.300
1517383410.597,7189588.300
1517383413.953,7189587.300
1517383417.310,7189588.300
1517383420.652,7189588.300
1517383424.008,7189587.800
1517383427.365,7189588.300
1517383430.706,7189590.100
1517383434.063,7189588.800
1517383437.420,7189588.500
1517383440.761,7189588.300
1517383444.118,7189588.400
1517383447.474,7189588.300
1517383450.831,7189588.500
1517383454.172,7189588.000
1517383457.529,7189588.000
1517383460.886,7189588.300
1517383464.227,7189587.800
1517383467.583,7189588.000
1517383470.940,7189587.500
1517383474.297,7189587.400
1517383477.638,7189588.500
1517383480.995,7189586.500
1517383484.352,7189588.000
1517383487.692,7189588.300
1517383491.049,7189588.800
1517383494.406,7189588.300
1517383497.747,7189589.600
1517383501.104,7189589.200
1517383504.461,7189587.500
1517383507.817,7189588.300
1517383511.158,7189586.100
1517383514.515,7189588.400
1517383517.871,7189587.700
1517383521.212,7189588.500
1517383524.569,7189588.000
1517383527.926,7189588.400
1517383531.282,7189588.500
1517383534.624,7189588.200
1517383537.980,7189588.900
1517383541.337,7189589.100
1517383544.678,7189587.300
1517383548.034,7189587.000
1517383551.391,7189588.800
1517383554.732,7189588.500
1517383558.088,7189587.300
1517383561.445,7189587.400
1517383564.802,7189588.200
1517383568.143,7189587.300
1517383571.499,7189588.200
1517383574.856,7189588.300
1517383578.197,7189587.800
1517383581.554,7189587.700
1517383584.911,7189588.000
1517383588.267,7189587.400
1517383591.609,7189587.900
1517383594.965,7189587.700
1517383598.322,7189587.500
1517383601.663,7189588.700
1517383605.020,7189587.700
1517383608.376,7189588.200
1517383611.717,7189586.600
1517383615.074,7189587.700
1517383618.431,7189586.800
1517383621.787,7189587.800
1517383625.128,7189586.800
1517383628.485,7189587.800
1517383631.842,7189589.800
1517383635.183,7189588.000
1517383638.540,7189586.900
1517383641.897,7189585.800
1517383645.254,7189587.500
1517383648.595,7189587.000
1517383651.951,7189588.500
1517383655.308,7189587.000
1517383658.649,7189587.700
1517383662.006,7189588.300
1517383665.363,7189587.400
1517383668.704,7189587.300
1517383672.060,7189587.200
1517383675.417,7189587.200
1517383678.774,7189587.800
1517383682.115,7189586.900
1517383685.472,7189588.200
1517383688.828,7189586.500
1517383692.169,7189587.700
1517383695.526,7189587.700
1517383698.883,7189586.300
1517383702.224,7189587.700
1517383705.580,7189587.200
1517383708.937,7189587.500
1517383712.294,7189589.100
1517383715.635,7189588.400
1517383718.992,7189589.100
1517383722.349,7189588.700
1517383725.690,7189588.900
1517383729.046,7189589.600
1517383732.403,7189589.100
1517383735.760,7189590.200
1517383739.101,7189588.500
1517383742.458,7189587.800
1517383745.814,7189587.500
1517383749.155,7189589.800
1517383752.512,7189589.700
1517383755.869,7189589.100
1517383759.210,7189589.200
1517383762.567,7189589.100
1517383765.924,7189589.400
1517383769.280,7189587.900
1517383772.621,7189587.400
1517383775.978,7189588.300
1517383779.335,7189588.500
1517383782.675,7189588.200
1517383786.032,7189589.400
1517383789.389,7189589.300
1517383792.730,7189587.900
1517383796.087,7189588.500
1517383799.444,7189587.500
1517383802.800,7189588.900
1517383806.141,7189589.100
1517383809.498,7189586.900
1517383812.855,7189588.700
1517383816.196,7189588.200
1517383819.553,7189588.300
1517383822.909,7189588.400
1517383826.266,7189588.400
1517383829.607,7189589.200
1517383832.964,7189588.500
1517383836.321,7189587.800
1517383839.662,7189588.500
1517383843.018,7189588.200
1517383846.375,7189588.900
1517383849.716,7189588.800
1517383853.073,7189589.400
1517383856.430,7189588.000
1517383859.786,7189588.200
1517383863.127,7189587.500
1517383866.484,7189588.300
1517383869.841,7189587.700
1517383873.182,7189587.400
1517383876.539,7189587.400
1517383879.895,7189588.400
1517383883.252,7189588.800
1517383886.593,7189588.800
1517383889.950,7189587.300
1517383893.306,7189587.500
1517383896.647,7189588.000
1517383900.004,7189589.300
1517383903.361,7189588.700
1517383906.702,7189587.900
1517383910.059,7189588.800
1517383913.415,7189588.500
1517383916.772,7189588.000
1517383920.113,7189589.100
1517383923.470,7189588.700
1517383926.827,7189588.700
1517383930.168,7189588.000
1517383933.525,7189588.500
1517383936.881,7189588.500
1517383940.222,7189588.700
1517383943.579,7189588.000
1517383946.936,7189589.100
1517383950.293,7189588.500
1517383953.634,7189588.800
1517383956.990,7189588.300
1517383960.347,7189588.700
1517383963.688,7189588.500
1517383967.045,7189589.100
1517383970.402,7189589.100
1517383973.758,7189587.800
1517383977.099,7189589.100
1517383980.456,7189588.400
1517383983.813,7189588.300
1517383987.154,7189588.000
1517383990.511,7189589.400
1517383993.868,7189587.700
1517383997.208,7189587.500
1517384000.565,7189588.400
1517384003.922,7189588.800
1517384007.278,7189589.100
1517384010.619,7189588.800
1517384013.976,7189588.000
1517384017.333,7189588.900
1517384020.674,7189589.100
1517384024.031,7189589.700
1517384027.387,7189589.300
1517384030.744,7189589.200
1517384034.085,7189587.400
1517384037.442,7189589.200
1517384040.799,7189590.100
1517384044.140,7189589.300
1517384047.496,7189590.800
1517384050.853,7189589.900
1517384054.194,7189588.700
1517384057.551,7189588.200
1517384060.908,7189589.200
1517384064.264,7189589.600
1517384067.605,7189588.200
1517384070.962,7189589.800
1517384074.319,7189588.800
1517384077.660,7189588.700
1517384081.016,7189588.200
1517384084.373,7189589.100
1517384087.714,7189588.900
1517384091.071,7189589.100
1517384094.428,7189589.600
1517384097.785,7189588.700
1517384101.126,7189588.800
1517384104.482,7189588.000
1517384107.839,7189589.900
1517384111.180,7189589.800
1517384114.537,7189590.200
1517384117.894,7189589.100
1517384121.250,7189588.800
1517384124.591,7189588.800
1517384127.948,7189589.600
1517384131.305,7189588.700
1517384134.646,7189589.800
1517384138.003,7189589.100
1517384141.360,7189588.500
1517384144.701,7189588.400
1517384148.057,7189588.900
1517384151.414,7189589.300
1517384154.770,7189589.300
1517384158.111,7189589.400
1517384161.468,7189589.400
1517384164.824,7189588.500
1517384168.166,7189588.300
1517384171.523,7189589.300
1517384174.879,7189590.200
1517384178.236,7189589.900
1517384181.577,7189588.400
1517384184.934,7189588.900
1517384188.290,7189588.300
1517384191.632,7189587.900
